age,japan deaths,japan mid-year population size,england and wales deaths,england and wales population size
0,1095,512310,1420,345145
1,185,514110,107,342078
2,104,518931,43,339683
3,76,518505,46,333300
4,49,514453,33,324776
5,60,521200,26,315630
6,50,533736,27,306718
7,30,546101,26,298809
8,42,557301,34,295383
9,37,564192,22,299729
10,36,568353,22,307791
11,31,573768,21,315605
12,43,577984,29,322450
13,44,576510,26,327347
14,49,579797,49,328135
15,80,588148,51,330682
16,77,587092,57,337180
17,93,584747,78,344739
18,107,584884,76,355351
19,124,584225,80,364044
20,134,590050,75,363505
21,171,604114,59,366130
22,147,621257,68,372752
23,170,636961,95,375784
24,169,657297,97,379706
25,177,682372,97,380426
26,190,699966,102,379086
27,195,707313,126,380269
28,223,713106,140,384015
29,240,731089,112,387316
30,281,755564,156,384364
31,304,782129,132,370395
32,302,810910,162,352741
33,369,842456,158,345864
34,404,881647,164,351349
35,441,926679,209,358892
36,489,964348,248,368598
37,547,972265,295,382932
38,594,955651,312,398964
39,617,931528,299,407987
40,657,910870,361,409883
41,675,895407,428,412458
42,708,885091,434,416169
43,741,810048,491,419155
44,752,776459,545,422240
45,935,814810,566,422964
46,919,801052,615,419459
47,931,776832,681,411653
48,1049,759249,719,401104
49,1132,754171,770,387848
50,1330,763178,797,374842
51,1379,765622,902,365141
52,1390,751132,998,356157
53,1545,753893,1008,345176
54,1732,781360,1102,333774
55,1898,801272,1106,326304
56,2075,827770,1242,324005
57,2422,875336,1373,321249
58,2710,929325,1478,317811
59,3090,993293,1545,319938
60,3606,1077378,1761,327236
61,4294,1136056,1989,339046
62,4610,1124777,2219,358725
63,4270,944045,2539,357556
64,3166,755772,2278,321010
65,4038,795295,2434,295597
66,4823,873639,2637,289204
67,4992,889374,2649,273842
68,5824,888888,2726,250817
69,5947,849682,2901,235917
70,5953,768217,3321,235234
71,5956,725522,3557,236438
72,7368,744750,3841,231876
73,8321,759889,4178,224393
74,9188,749504,4455,216350
75,10031,716733,4766,207698
76,10713,690836,5160,198901
77,12356,676066,5679,192965
78,12993,653104,6362,189923
79,14335,620073,7048,185529
80,15461,587502,7557,177312
81,17171,559234,8011,166089
82,17857,529454,8541,155075
83,19798,500687,9139,145523
84,21190,466626,9760,136294
85,22249,415629,10207,126325
86,22810,371119,10510,116733
87,23486,335117,10826,107433
88,24438,297293,11433,98871
89,24426,265376,11886,93614
90,23946,218184,11518,73795
91,20607,172216,7629,48806
92,20576,146653,6780,37374
93,19611,123823,6800,32556
94,18043,100706,6429,27919
95,16102,80379,5647,22198
96,14102,62028,4809,16995
97,11472,45538,3845,12191
98,9021,32564,2797,8343
99,6854,22677,2032,5556
100,5099,15032,1492,3601
101,3662,9672,1043,2276
102,2457,5957,680,1387
103,1477,3297,434,812
104,825,1768,231,443
105,518,1023,116,228
106,278,554,63,120
107,146,284,35,61
108,109,150,19,29
109,50,63,6,15
110+,35,55,12,11
